"Registry name","Width","Height"
"minecraft:alban","16","16"
"minecraft:aztec","16","16"
"minecraft:aztec2","16","16"
"minecraft:bomb","16","16"
"minecraft:burning_skull","64","64"
"minecraft:bust","32","32"
"minecraft:courbet","32","16"
"minecraft:creebet","32","16"
"minecraft:donkey_kong","64","48"
"minecraft:earth","32","32"
"minecraft:fighters","64","32"
"minecraft:fire","32","32"
"minecraft:graham","16","32"
"minecraft:kebab","16","16"
"minecraft:match","32","32"
"minecraft:pigscene","64","64"
"minecraft:plant","16","16"
"minecraft:pointer","64","64"
"minecraft:pool","32","16"
"minecraft:sea","32","16"
"minecraft:skeleton","64","48"
"minecraft:skull_and_roses","32","32"
"minecraft:stage","32","32"
"minecraft:sunset","32","16"
"minecraft:void","32","32"
"minecraft:wanderer","16","32"
"minecraft:wasteland","16","16"
"minecraft:water","32","32"
"minecraft:wind","32","32"
"minecraft:wither","32","32"
"supplementaries:bombs","32","32"
